split,row_start_time,row_end_time,row_n,embedding_start_time,embedding_end_time,embedding_n,evaluation_n
train,2024-01-02 00:00:00,2025-06-30 22:55:00,157236,2024-01-03 21:40:00,2025-06-30 22:55:00,156688,0
validation,2025-07-01 00:00:00,2025-12-31 22:55:00,52980,2025-07-01 00:00:00,2025-12-31 22:55:00,52980,5000
test,2026-01-01 00:00:00,2026-04-30 19:55:00,34512,2026-01-01 00:00:00,2026-04-30 19:55:00,34512,5000
