config_name,tau,m,theiler_window,selected_k,validation_rmse_selected_k,test_rmse_knn,test_rmse_persistence,test_rmse_ar49,delta_rmse_knn_vs_persistence,delta_rmse_knn_vs_ar49,relative_improvement_vs_persistence_percent,relative_difference_vs_ar49_percent
tau137_m5,137,5,685,200,0.852389405646,0.876532398003,0.97749957654,0.864066523056,-0.100967178537,0.0124658749469,10.3291275986,1.44269852081
tau137_m14,137,14,1918,200,0.911328266292,0.914513884946,0.997330620681,0.872288402138,-0.0828167357348,0.0422254828083,8.30383967137,4.84077086258
