event,variable,time,value,close,log_rv_past_12,log_rv_future_12
retorno mas negativo,r,2025-10-10 21:15:00,-0.0762134258421,103975.26,-5.02924038582,-5.86325367175
retorno mas positivo,r,2025-10-10 21:20:00,0.0400047047502,108219.08,-4.81092203065,-6.67324037732
mayor retorno absoluto,abs_r,2025-10-10 21:15:00,0.0762134258421,103975.26,-5.02924038582,-5.86325367175
mayor log volatilidad pasada 1h,log_rv_past_12,2025-10-10 21:45:00,-4.67910262285,113104.41,-4.67910262285,-8.51003473588
mayor log volatilidad futura 1h,log_rv_future_12,2025-10-10 20:45:00,-4.67910262285,116890.8,-10.4914061855,-4.67910262285
mayor volumen,volume,2024-12-05 22:25:00,5471.43943,94115.9,-6.33953778958,-7.69867217228
mayor numero de trades,trades,2025-10-10 21:20:00,711259,108219.08,-4.81092203065,-6.67324037732
