column,missing_after_dropna,min,max
log_close,0,10.5606015145,11.7441259122
r,0,-0.0762134258421,0.0400047047502
r2,0,0,0.00580848627859
abs_r,0,0,0.0762134258421
hl_range,0,8.17475569352e-08,0.0807189600513
log_volume,0,0.64688332259,8.60747976127
log_trades,0,6.01371515604,13.4747933241
rv_past_12,0,4.23237959124e-08,0.00928734439835
rv_past_48,0,8.34664248939e-07,0.00975863382291
rv_past_288,0,2.10803283573e-05,0.0131621161195
rv_future_12,0,4.23237959124e-08,0.00928734439835
rv_future_48,0,8.34664248939e-07,0.00975863382291
log_rv_past_12,0,-16.9778927309,-4.67910262285
log_rv_past_48,0,-13.996235092,-4.62960286541
log_rv_past_288,0,-10.7671702103,-4.33041256658
log_rv_future_12,0,-16.9778927309,-4.67910262285
log_rv_future_48,0,-13.996235092,-4.62960286541
