split,open_time,index,x1,x2,x3,x4,x5
train,2024-01-03 21:40:00,548,0.871803850292,0.6499716869,0.969983875312,-0.146217324378,0.682560239599
train,2024-01-04 02:55:00,611,0.461246016422,1.17693394306,-0.541823201468,1.42868695759,0.411527863262
train,2024-01-04 08:05:00,673,0.840981952265,0.483135533456,-0.0358554073701,0.974995795409,0.193290620244
train,2024-01-04 13:20:00,736,0.623973069082,0.803817874413,1.50995500192,-0.273175932544,1.99372640796
train,2024-01-04 18:35:00,799,0.827560037874,0.0669705882545,1.99523670565,0.635092893596,0.000974422313624
train,2024-01-04 23:50:00,862,-0.239345084029,0.821514220233,0.06620834305,2.13474465956,-0.394143689906
train,2024-01-05 05:00:00,924,0.47234480066,0.740332529157,0.387967474816,1.29617967528,-0.711647502542
train,2024-01-05 10:15:00,987,0.265246651052,1.06144953294,0.122889249212,0.105706724305,4.65096421146
train,2024-01-05 15:30:00,1050,1.51109187429,0.136243797861,0.796268087685,-0.343847262765,1.39528441655
train,2024-01-05 20:40:00,1112,0.174040358813,0.85810630198,1.35966657184,0.234778375244,0.362698686196
train,2024-01-06 01:55:00,1175,-1.06278389986,0.538134447744,1.40194767018,1.75405883472,0.349358224903
train,2024-01-06 07:10:00,1238,-0.508895438462,0.0576820940817,0.334372780786,1.37949246712,-0.369224431819
train,2024-01-06 12:20:00,1300,-0.331288095244,-0.599311342189,-0.233829019285,2.69867808994,0.937630276248
train,2024-01-06 17:35:00,1363,-0.738313382035,0.477346023338,0.265928479214,-0.113517579515,1.01525837441
train,2024-01-06 22:50:00,1426,-0.641052116544,-1.52141229843,0.382725599441,0.336634441603,-0.0807207794317
train,2024-01-07 04:05:00,1489,-0.725386650422,-0.683963188105,-1.29047460222,1.27644953517,0.322769178186
train,2024-01-07 09:15:00,1551,-0.725756247476,-0.593198219339,-1.02038434397,0.599749999797,1.05364048797
train,2024-01-07 14:30:00,1614,-0.418703093277,0.458641830696,-1.05404274929,-0.81154286769,0.901125847176
train,2024-01-07 19:45:00,1677,-0.398117412787,-0.940381461061,0.0153208682898,-0.985796985348,0.489304377243
train,2024-01-08 00:55:00,1739,-0.262653821057,0.12503165236,-0.274579269553,-0.442946862874,-0.599422728245
