series_name,p,nobs_train,innovation_variance,aic,bic
logistic_clean,0,6600,0.999848484848,0.99992423478,7.79474916279
logistic_clean,1,6600,0.999847950967,2.99640008014,16.5860499362
logistic_clean,2,6600,0.999674609471,3.85207303445,24.2365478185
logistic_clean,3,6600,0.999645926973,5.66270420968,32.8420039217
logistic_clean,4,6600,0.999619614555,7.48897845664,41.4631030967
logistic_clean,5,6600,0.999401895437,8.05132890493,48.820278473
logistic_clean,6,6600,0.999401239831,10.0469993198,57.6107738159
logistic_clean,7,6600,0.999162650968,10.4711812888,64.8297807129
logistic_clean,8,6600,0.999080893363,11.9311067868,73.084531139
logistic_clean,9,6600,0.999074519501,13.8890004661,81.8372497462
logistic_clean,10,6600,0.999043901806,15.6867333888,90.429807597
logistic_clean,11,6600,0.998983498007,17.2876747211,98.8255738573
logistic_clean,12,6600,0.998302794379,14.7889264591,103.121650523
logistic_clean,13,6600,0.99825806964,16.493234717,111.620783709
logistic_clean,14,6600,0.998197827576,18.0949312825,120.017305203
logistic_clean,15,6600,0.998190544874,20.0467784923,128.763977341
logistic_clean,16,6600,0.998190535107,22.0467139146,137.558737691
logistic_clean,17,6600,0.998188830728,24.0354446124,146.342293317
logistic_clean,18,6600,0.998081285191,25.324317861,154.425991493
logistic_clean,19,6600,0.998043294294,27.0730911335,162.969589694
logistic_clean,20,6600,0.997998423061,28.7763537126,171.467677201
logistic_clean,21,6600,0.997995320928,30.7558385381,180.241986954
logistic_clean,22,6600,0.997281633935,28.0343542891,184.315327633
logistic_clean,23,6600,0.997277767174,30.0087640544,193.084562327
logistic_clean,24,6600,0.997276667114,32.0014838365,201.872107037
logistic_clean,25,6600,0.997228235861,33.6809569036,210.346405032
logistic_clean,26,6600,0.997106373513,34.8743806231,218.334653679
logistic_clean,27,6600,0.997059906628,36.5668020204,226.821900005
logistic_clean,28,6600,0.996564893186,35.2892657587,232.339188671
logistic_clean,29,6600,0.99644728231,36.5103123835,240.355060224
logistic_clean,30,6600,0.996250556518,37.2071642511,247.84673702
logistic_clean,31,6600,0.996206055554,38.9123459254,256.346743622
logistic_clean,32,6600,0.995961781226,39.293796979,263.523019603
logistic_clean,33,6600,0.995875859097,40.7243870665,271.748434619
logistic_clean,34,6600,0.995862854923,42.6382035255,280.457076006
logistic_clean,35,6600,0.995853138473,44.5738082258,289.187505634
logistic_clean,36,6600,0.995853128873,46.5737446011,297.982266938
logistic_clean,37,6600,0.995838753987,48.4784745963,306.681821861
logistic_clean,38,6600,0.99582791027,50.4066066142,315.404778807
logistic_clean,39,6600,0.995791863912,52.1676996087,323.960696729
logistic_clean,40,6600,0.995280856906,50.7799315159,329.367753564
logistic_clean,41,6600,0.995191853123,52.1896948713,337.572341848
logistic_clean,42,6600,0.994739598135,51.1897091447,343.367181049
logistic_clean,43,6600,0.99472190811,53.0723365199,352.044633353
logistic_clean,44,6600,0.994116219211,51.0523543974,356.819476158
logistic_clean,45,6600,0.994116107507,53.0516127835,365.613559472
logistic_clean,46,6600,0.99408611379,54.8524795918,374.209251209
logistic_clean,47,6600,0.993794802968,54.9181067406,381.069703285
logistic_clean,48,6600,0.993241680445,53.2436812521,386.190102725
logistic_clean,49,6600,0.993172003541,54.7806683692,394.52191477
logistic_clean,50,6600,0.992426129934,51.8221967047,398.358268033
logistic_clean,51,6600,0.992394194002,53.6098075529,406.94070381
logistic_clean,52,6600,0.992189486872,54.2482453535,414.373966538
logistic_clean,53,6600,0.991899689663,54.3202457273,421.24079184
logistic_clean,54,6600,0.991715713641,55.0959743837,428.811345425
logistic_clean,55,6600,0.991713428336,57.0807653596,437.590961328
logistic_clean,56,6600,0.991599113522,58.3199394634,445.62496036
logistic_clean,57,6600,0.991597978833,60.3123870626,454.412232887
logistic_clean,58,6600,0.991106440698,59.0399358339,459.934606587
logistic_clean,59,6600,0.991105953134,61.0366890346,468.726184716
logistic_clean,60,6600,0.991105331645,63.0325503965,477.516871005
logistic_clean,61,6600,0.991057193484,64.7119794467,485.991124984
logistic_clean,62,6600,0.990982973981,66.2176920692,494.291662534
logistic_clean,63,6600,0.990980322022,68.2000298536,503.068825246
logistic_clean,64,6600,0.990809696561,69.0635542052,510.727174526
logistic_clean,65,6600,0.990729169238,70.5271223067,518.985567556
logistic_clean,66,6600,0.990689581031,72.2633899021,527.516660079
logistic_clean,67,6600,0.990689280457,74.2613874651,536.30948257
logistic_clean,68,6600,0.99066423262,76.0945159565,544.937435989
logistic_clean,69,6600,0.990663647589,78.0906183649,553.728363326
logistic_clean,70,6600,0.990606610179,79.7106127557,562.143182645
logistic_clean,71,6600,0.990596837455,81.645500841,570.872895658
logistic_clean,72,6600,0.990595758508,83.6383121886,579.660531934
logistic_clean,73,6600,0.990197735443,82.985888021,585.802932694
logistic_clean,74,6600,0.990188381252,84.9235389104,594.535408511
logistic_clean,75,6600,0.990177214171,86.8491054453,603.255799974
logistic_clean,76,6600,0.990168579965,88.7915541223,611.993073579
logistic_clean,77,6600,0.990144133666,90.6286045323,620.624948917
logistic_clean,78,6600,0.990080930129,92.2072955069,628.99846482
logistic_clean,79,6600,0.989849660593,92.6654445452,636.251438786
logistic_clean,80,6600,0.989816952873,94.4473563545,644.828175524
logistic_clean,81,6600,0.989800792029,96.339596596,653.515240693
logistic_clean,82,6600,0.989750307292,98.0029553602,661.973424385
logistic_clean,83,6600,0.989454838975,98.0323754878,668.797669441
logistic_clean,84,6600,0.989370136451,99.4673566909,677.027475572
logistic_clean,85,6600,0.989106924575,99.7112601143,684.066203924
logistic_clean,86,6600,0.989070898302,101.470863726,692.620632463
logistic_clean,87,6600,0.98901390109,103.090514414,701.035108079
logistic_clean,88,6600,0.988789684732,103.594078693,708.333497287
logistic_clean,89,6600,0.988787563918,105.579922609,717.11416613
logistic_clean,90,6600,0.987597447116,99.6312974196,717.960365869
logistic_clean,91,6600,0.987516164651,101.088073712,726.211967089
logistic_clean,92,6600,0.987246181351,101.283411194,733.202129499
logistic_clean,93,6600,0.98724124113,103.250384439,741.963927672
logistic_clean,94,6600,0.98704117954,103.912777938,749.421146099
logistic_clean,95,6600,0.986977888667,105.489560383,757.792753473
logistic_clean,96,6600,0.986977871833,107.489447815,766.587465832
logistic_clean,97,6600,0.986961981548,109.383187353,775.276030298
logistic_clean,98,6600,0.98631148166,107.031738354,779.719406227
logistic_clean,99,6600,0.985975596565,106.783747507,786.266240309
logistic_clean,100,6600,0.985870070091,108.0773284,794.354646129
logistic_noise_small,0,6600,0.999848484848,0.999924234826,7.79474916284
logistic_noise_small,1,6600,0.999848231072,2.99824905693,16.587898913
logistic_noise_small,2,6600,0.999680135016,3.88855340085,24.2730281849
logistic_noise_small,3,6600,0.999651779414,5.70134389275,32.8806436048
logistic_noise_small,4,6600,0.999624705657,7.52259242658,41.4967170667
logistic_noise_small,5,6600,0.999411270771,8.1132428531,48.8821924212
logistic_noise_small,6,6600,0.99941092265,10.1109438975,57.6747183936
logistic_noise_small,7,6600,0.999173294313,10.5414858648,64.9000852889
logistic_noise_small,8,6600,0.999093718038,12.0158269639,73.1692513161
logistic_noise_small,9,6600,0.999087168316,13.972559447,81.9208087272
logistic_noise_small,10,6600,0.999055247261,15.7616846258,90.504758834
logistic_noise_small,11,6600,0.998994607746,17.361073202,98.8989723382
logistic_noise_small,12,6600,0.998296761261,14.7490400661,103.08176413
logistic_noise_small,13,6600,0.998251711261,16.4511960597,111.578745052
logistic_noise_small,14,6600,0.998192081055,18.0569356622,119.979309582
logistic_noise_small,15,6600,0.998184410951,20.0062210894,128.723419938
logistic_noise_small,16,6600,0.998184251433,22.0051663605,137.517190137
logistic_noise_small,17,6600,0.998182696124,23.99488264,146.301731344
logistic_noise_small,18,6600,0.998069473774,25.2462121824,154.347885815
logistic_noise_small,19,6600,0.998033357016,27.0073761885,162.903874749
logistic_noise_small,20,6600,0.997987495346,28.7040857436,171.395409232
logistic_noise_small,21,6600,0.997983143659,30.6753066342,180.16145505
logistic_noise_small,22,6600,0.997267889728,27.9433946383,184.224367983
logistic_noise_small,23,6600,0.997264194801,29.9189412641,192.994739536
logistic_noise_small,24,6600,0.997262802386,31.9097261071,201.780349307
logistic_noise_small,25,6600,0.997216231849,33.6015097389,210.266957867
logistic_noise_small,26,6600,0.99709033021,34.7681866847,218.228459741
logistic_noise_small,27,6600,0.997044725391,36.4663096334,226.721407618
logistic_noise_small,28,6600,0.996552872207,35.2096533427,232.259576255
logistic_noise_small,29,6600,0.996437448094,36.445174818,240.289922658
logistic_noise_small,30,6600,0.996239671375,37.1350515296,247.774624298
logistic_noise_small,31,6600,0.996194456989,38.8355034124,256.269901109
logistic_noise_small,32,6600,0.995958756266,39.2737512681,263.502973893
logistic_noise_small,33,6600,0.995875147209,40.7196691434,271.743716696
logistic_noise_small,34,6600,0.995864434513,42.6486721172,280.467544598
logistic_noise_small,35,6600,0.995854146404,44.5804882702,289.194185679
