variable,n,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max,skewness,kurtosis_excess,min_time,max_time
r,244752,2.23854435948e-06,0.00154603565492,-0.0762134258421,-0.004329493889,-0.00219829885726,-0.000640905485902,8.49374917067e-08,0.000649749560782,0.0021844774239,0.00433196289932,0.0400047047502,-0.654918434954,53.6014709722,2025-10-10 21:15:00,2025-10-10 21:20:00
abs_r,244752,0.000984775442544,0.00119182407377,0,5.20404962435e-06,5.16476970654e-05,0.000281924163573,0.000645215315071,0.00126896676666,0.00302694445755,0.00545133544226,0.0762134258421,5.94973961805,133.034020732,2024-01-13 07:10:00,2025-10-10 21:15:00
r2,244752,2.39022149145e-06,1.7822412161e-05,0,2.70821354385e-11,2.66748461333e-09,7.9481234007e-08,4.16302802908e-07,1.61027665489e-06,9.16239274994e-06,2.97170581161e-05,0.00580848627859,169.879588105,48684.9858137,2024-01-13 07:10:00,2025-10-10 21:15:00
log_rv_past_12,244752,-11.2756754076,1.21736126489,-16.9778927309,-14.0812591343,-13.2359048127,-12.0776954987,-11.3077511524,-10.4949914118,-9.23703352382,-8.28376197307,-4.67910262285,0.123634624904,0.319237099721,2026-01-24 13:50:00,2025-10-10 21:45:00
log_rv_future_12,244752,-11.2758481756,1.21735976036,-16.9778927309,-14.0812591343,-13.2360059015,-12.0778029279,-11.3079061042,-10.4951929267,-9.23718821909,-8.28376197307,-4.67910262285,0.123744122419,0.319291718098,2026-01-24 12:50:00,2025-10-10 20:45:00
volume,244752,94.4718506342,138.521174521,0.90958,6.4301206,11.981795,28.9330625,54.61504,107.3144925,298.9757225,634.6854314,5471.43943,7.48111628128,114.883942485,2025-06-29 04:40:00,2024-12-05 22:25:00
trades,244752,11924.7529418,13172.0565242,408,1288,1983,4219.75,7652,14468,36750,64722.49,711259,4.45408532018,72.7655377263,2025-06-29 04:35:00,2025-10-10 21:20:00
