series,radius,log_radius,correlation_sum,log_correlation_sum,local_slope,n_vectors,n_pairs,metric,theiler_window
original,0.945277064018,-0.0562772050233,0.0100003065698,-4.60513952948,nan,2500,3098805,euclidean,685
original,0.985439002675,-0.0146680491044,0.0120368980946,-4.41977850563,4.46250496631,2500,3098805,euclidean,685
original,1.02730729958,0.0269411068145,0.0144975240456,-4.23377739961,4.44313207064,2500,3098805,euclidean,685
original,1.0709544527,0.0685502627334,0.017421877143,-4.05002855544,4.38083653995,2500,3098805,euclidean,685
original,1.11645604019,0.110159418652,0.0208748211004,-3.86921157832,4.30371968808,2500,3098805,euclidean,685
original,1.16389085132,0.151768574571,0.024925092092,-3.69188026838,4.26245561746,2500,3098805,euclidean,685
original,1.21334102287,0.19337773049,0.0297627633878,-3.51449721755,4.22552975086,2500,3098805,euclidean,685
original,1.26489218135,0.234986886409,0.0354284958234,-3.34023881589,4.14632947402,2500,3098805,euclidean,685
original,1.31863359128,0.276596042328,0.0420268458325,-3.1694466784,4.10030972841,2500,3098805,euclidean,685
original,1.37465830976,0.318205198247,0.049835985162,-2.99901796228,4.05884423262,2500,3098805,euclidean,685
original,1.43306334762,0.359814354166,0.0589140007196,-2.83167651335,3.96620113964,2500,3098805,euclidean,685
original,1.49394983736,0.401423510084,0.0693244653988,-2.66895739903,3.86486054196,2500,3098805,euclidean,685
original,1.5574232083,0.443032666003,0.0812642292755,-2.51004934356,3.79533544803,2500,3098805,euclidean,685
original,1.62359336913,0.484641821922,0.0950724553497,-2.35311599019,3.70849021263,2500,3098805,euclidean,685
original,1.69257489823,0.526250977841,0.110644264483,-2.2014350486,3.6098622222,2500,3098805,euclidean,685
original,1.76448724205,0.56786013376,0.128386587733,-2.05270935009,3.52235210022,2500,3098805,euclidean,685
original,1.83945492198,0.609469289679,0.14833072749,-1.90831085312,3.41892958913,2500,3098805,euclidean,685
original,1.91760774992,0.651078445598,0.170641263326,-1.76819180139,3.31252748942,2500,3098805,euclidean,685
original,1.99908105309,0.692687601517,0.195411456997,-1.63264790753,3.19989441987,2500,3098805,euclidean,685
original,2.08401590837,0.734296757436,0.222706172218,-1.50190198971,3.09645307043,2500,3098805,euclidean,685
original,2.17255938653,0.775905913354,0.252848114031,-1.37496631033,2.98431159567,2500,3098805,euclidean,685
original,2.26486480695,0.817515069273,0.28548876099,-1.25355261672,2.85178621081,2500,3098805,euclidean,685
original,2.36109200309,0.859124225192,0.320572930533,-1.13764547614,2.72484895897,2500,3098805,euclidean,685
original,2.46140759923,0.900733381111,0.358152900876,-1.02679528634,2.59543232328,2500,3098805,euclidean,685
original,2.56598529901,0.94234253703,0.397858852041,-0.921657979711,2.45059682871,2500,3098805,euclidean,685
original,2.67500618621,0.983951692949,0.439173487845,-0.822860755262,2.3110383569,2500,3098805,euclidean,685
original,2.78865903832,1.02556084887,0.482228471943,-0.729337269057,2.17333093194,2500,3098805,euclidean,685
original,2.90714065339,1.06717000479,0.526238985674,-0.641999824041,2.02370008509,2500,3098805,euclidean,685
original,3.03065619083,1.10877916071,0.570679019816,-0.56092836431,1.86695702416,2500,3098805,euclidean,685
original,3.15941952664,1.15038831662,0.614691469776,-0.486634812217,1.71177758124,2500,3098805,euclidean,685
original,3.29365362377,1.19199747254,0.65804818309,-0.418477123757,1.56167116233,2500,3098805,euclidean,685
original,3.43359091817,1.23360662846,0.699999838647,-0.356675174442,nan,2500,3098805,euclidean,685
shuffled,0.945277064018,-0.0562772050233,0.0070307747664,-4.95745837064,nan,2500,3098805,euclidean,685
shuffled,0.985439002675,-0.0146680491044,0.00857233675562,-4.75921491661,4.6254521114,2500,3098805,euclidean,685
shuffled,1.02730729958,0.0269411068145,0.0103317246487,-4.57253605444,4.51790658151,2500,3098805,euclidean,685
shuffled,1.0709544527,0.0685502627334,0.0124848126939,-4.38324235785,4.58540882547,2500,3098805,euclidean,685
shuffled,1.11645604019,0.110159418652,0.0151319621596,-4.1909460729,4.52803661324,2500,3098805,euclidean,685
shuffled,1.16389085132,0.151768574571,0.0181983054758,-4.00642679496,4.41499126816,2500,3098805,euclidean,685
shuffled,1.21334102287,0.19337773049,0.0218503584446,-3.82353795279,4.40129421775,2500,3098805,euclidean,685
shuffled,1.26489218135,0.234986886409,0.0262481827672,-3.64015852026,4.36938525658,2500,3098805,euclidean,685
shuffled,1.31863359128,0.276596042328,0.031432116574,-3.45992508797,4.31100091765,2500,3098805,euclidean,685
shuffled,1.37465830976,0.318205198247,0.0375754524728,-3.28140430156,4.23194350602,2500,3098805,euclidean,685
shuffled,1.43306334762,0.359814354166,0.0447014252268,-3.1077498936,4.17457992335,2500,3098805,euclidean,685
shuffled,1.49394983736,0.401423510084,0.0531837272755,-2.9340028077,4.13630282288,2500,3098805,euclidean,685
shuffled,1.5574232083,0.443032666003,0.06306850544,-2.76353375543,4.07220098832,2500,3098805,euclidean,685
shuffled,1.62359336913,0.484641821922,0.0746368358125,-2.59512111599,4.01529176693,2500,3098805,euclidean,685
shuffled,1.69257489823,0.526250977841,0.0880907317498,-2.42938795305,3.93038343212,2500,3098805,euclidean,685
shuffled,1.76448724205,0.56786013376,0.103514741973,-2.2680412419,3.84850912529,2500,3098805,euclidean,685
shuffled,1.83945492198,0.609469289679,0.12134451829,-2.10912152055,3.75062330987,2500,3098805,euclidean,685
shuffled,1.91760774992,0.651078445598,0.141434198021,-1.95592070171,3.64274898624,2500,3098805,euclidean,685
shuffled,1.99908105309,0.692687601517,0.164313662847,-1.80597809947,3.55696355657,2500,3098805,euclidean,685
shuffled,2.08401590837,0.734296757436,0.190154914556,-1.65991619926,3.44721148441,2500,3098805,euclidean,685
shuffled,2.17255938653,0.775905913354,0.218907288455,-1.51910697919,3.31832919317,2500,3098805,euclidean,685
shuffled,2.26486480695,0.817515069273,0.250631775797,-1.38377044569,3.19974685096,2500,3098805,euclidean,685
shuffled,2.36109200309,0.859124225192,0.285695292217,-1.25282944794,3.0713535646,2500,3098805,euclidean,685
shuffled,2.46140759923,0.900733381111,0.323622493187,-1.12817758698,2.92358423082,2500,3098805,euclidean,685
shuffled,2.56598529901,0.94234253703,0.364388853122,-1.00953370374,2.76794397409,2500,3098805,euclidean,685
shuffled,2.67500618621,0.983951692949,0.407451259437,-0.897833962198,2.61634455557,2500,3098805,euclidean,685
shuffled,2.78865903832,1.02556084887,0.45302592451,-0.791805926639,2.46660272228,2500,3098805,euclidean,685
shuffled,2.90714065339,1.06717000479,0.500289950481,-0.692567447676,2.30047615155,2500,3098805,euclidean,685
shuffled,3.03065619083,1.10877916071,0.548611803582,-0.600364184884,2.13162018807,2500,3098805,euclidean,685
shuffled,3.15941952664,1.15038831662,0.597394479485,-0.515177614145,1.95604510866,2500,3098805,euclidean,685
shuffled,3.29365362377,1.19199747254,0.645593381965,-0.437585413063,1.77943600198,2500,3098805,euclidean,685
shuffled,3.43359091817,1.23360662846,0.692743170351,-0.367095954037,nan,2500,3098805,euclidean,685
