model,split,n,mae,rmse,r2_oos,delta_rmse_vs_har,relative_rmse_vs_har_percent,rank_rmse
historical_mean,test_knn_comparable_sample,5000,0.996536415516,1.26545099819,0,0.404640213975,47.0068708935,5
persistence,test_knn_comparable_sample,5000,0.76286238025,0.97749957654,0.403318613236,0.116688792321,13.555684299,4
ar49_horizon12,test_knn_comparable_sample,5000,0.670989592158,0.864066523056,0.533766266065,0.00325573883656,0.378217710122,2
knn_tau137_m5_k200,test_knn_comparable_sample,5000,0.681143476346,0.876532398003,0.520216530787,0.0157216137835,1.82637277224,3
har_logrv_compact,test_knn_comparable_sample,5000,0.669129161573,0.86081078422,0.537273115364,0,0,1
