series,reference_label,reference_period_lags,nearest_period_lags,nearest_period_hours,nearest_period_days,power
r,1 hora,12,12.0001831083,1.00001525902,0.0416673024592,2.71163539191e-07
r,1 dia,288,288.07032967,24.0058608059,1.00024420024,3.0588258342e-08
r,1 semana,2016,2016.49230769,168.041025641,7.00170940171,1.57027503282e-06
abs_r,1 hora,12,12.0001831083,1.00001525902,0.0416673024592,5.3045401071e-05
abs_r,1 dia,288,288.07032967,24.0058608059,1.00024420024,0.00313072473025
abs_r,1 semana,2016,2016.49230769,168.041025641,7.00170940171,0.00268485927891
log_rv_past_12,1 hora,12,12.0001831083,1.00001525902,0.0416673024592,0.797780505582
log_rv_past_12,1 dia,288,288.07032967,24.0058608059,1.00024420024,10919.7194795
log_rv_past_12,1 semana,2016,2016.49230769,168.041025641,7.00170940171,16850.4142123
