series,regression,selected_lag,nobs,adf_statistic,gamma,std_error,aic,bic,critical_1pct,critical_5pct,critical_10pct,p_value_range,reject_unit_root_5pct
close,constant,2,244749,-1.97886835942,-2.36106817328e-05,1.19314059575e-05,-2512273.581,-2512231.94905,-3.43,-2.86,-2.57,> 0.10,False
log_close,constant,2,244749,-2.23413869165,-2.60549704568e-05,1.16621991975e-05,-2523446.59386,-2523404.96191,-3.43,-2.86,-2.57,> 0.10,False
r,constant,1,244750,-357.690692252,-1.02757373944,0.00287279977281,-95.9775571742,-64.7535794931,-3.43,-2.86,-2.57,< 0.01,True
abs_r,constant,12,244739,-71.1872513846,-0.220151089025,0.00309256341189,-60717.8529109,-60572.1416443,-3.43,-2.86,-2.57,< 0.01,True
log_rv_past_12,constant,12,244739,-40.3339506047,-0.0156433918816,0.000387846755577,-846130.604198,-845984.892932,-3.43,-2.86,-2.57,< 0.01,True
