series,window_observations,window_label,raw_mean_first_half,raw_mean_second_half,raw_mean_difference,raw_std_first_half,raw_std_second_half,raw_std_ratio_second_over_first,rolling_mean_min,rolling_mean_max,rolling_std_min,rolling_std_max
close,288,1 day,70434.3806849,94929.9390468,24495.5583619,17605.8083577,16707.7134953,0.948988717577,39386.3328472,124674.413507,53.4143578779,4169.11331162
log_close,288,1 day,11.1317867672,11.4446291978,0.312842430655,0.247420060101,0.182749551608,0.738620593389,10.5811279267,11.73345229,0.000700212397005,0.0610114968066
r,288,1 day,5.45024028991e-06,-9.73151570954e-07,-6.42339186086e-06,0.00166468921578,0.00141748411253,0.851500748063,-0.000726064720102,0.000539336469375,0.000271010706474,0.00677034415975
abs_r,288,1 day,0.00107678024126,0.000892770643832,-0.000184009597424,0.00126954902541,0.0011010069122,0.867242532717,0.00017676585102,0.00495645549077,0.000192509943766,0.00563875980758
log_rv_past_12,288,1 day,-11.0851159953,-11.4662348199,-0.381118824659,1.17784550615,1.22637783716,1.04120432667,-14.2980000329,-7.91865231037,0.362679971182,1.94493765921
