column,zero_or_negative_windows_before_dropna,epsilon_used_for_log
rv_past_12,0,1e-12
rv_past_48,0,1e-12
rv_past_288,0,1e-12
rv_future_12,0,1e-12
rv_future_48,0,1e-12
