tau,mutual_information,n_pairs
223,0.0639537779721,157025
224,0.0646533867751,157024
225,0.0648333532864,157023
226,0.0647967603871,157022
227,0.0647617592461,157021
228,0.0649615815454,157020
229,0.0651769633084,157019
230,0.0648878303973,157018
231,0.0649290612834,157017
232,0.0650443116876,157016
233,0.0651210697043,157015
234,0.0651157123798,157014
235,0.0650600861153,157013
236,0.0647708156182,157012
237,0.0648805036999,157011
238,0.0648489356576,157010
239,0.065198872941,157009
240,0.0652411253748,157008
241,0.0656136147961,157007
242,0.0658831643819,157006
243,0.0658460388937,157005
244,0.0659804153525,157004
245,0.0662674514782,157003
246,0.0669165961317,157002
247,0.0672808079926,157001
248,0.0675641799619,157000
249,0.06792921167,156999
250,0.0683268160962,156998
251,0.0687276663667,156997
252,0.0690679730927,156996
253,0.0697317881674,156995
254,0.0702017670458,156994
255,0.0707342995805,156993
256,0.0712403203885,156992
257,0.0721120262243,156991
258,0.0731056410724,156990
259,0.073708376682,156989
260,0.0744374139899,156988
261,0.0750251925986,156987
262,0.0760832831422,156986
263,0.0770230682182,156985
264,0.0778927636922,156984
265,0.0791527579342,156983
266,0.0801998785759,156982
267,0.0815865687721,156981
268,0.0825091590034,156980
269,0.083474723324,156979
270,0.0849674693684,156978
271,0.0861386202373,156977
272,0.0873167088741,156976
273,0.0886354709573,156975
274,0.0899282345937,156974
275,0.0909549231124,156973
276,0.0920912793675,156972
277,0.0933592903509,156971
278,0.0943659912203,156970
279,0.0954694245581,156969
280,0.0964374675297,156968
281,0.097104563354,156967
282,0.0977899155585,156966
283,0.0983103010866,156965
284,0.0991133275912,156964
285,0.0993322972483,156963
286,0.0994023802651,156962
287,0.0992026503071,156961
288,0.098995570802,156960
