lag,pacf
0,1
1,-0.00286071343926
2,-0.00541959739865
3,-0.00179979931521
4,-0.00206434617407
5,-0.00142295041711
6,-0.0015724406595
7,0.000716190936581
8,-0.000190139438483
9,-0.00203880357159
10,-0.00358279480351
11,-0.00421392735634
12,0.00452807383646
13,-0.00192760982127
14,-0.00247285367308
15,0.00348280506142
16,0.000379265195431
17,0.000445205521175
18,-0.00168503017194
19,-0.000915023792653
20,-0.003896580253
21,0.000961284194317
22,-0.00287371810613
23,-0.000864678733557
24,0.000353242334838
25,-0.00141448321673
26,-0.00117659484204
27,0.00142593781836
28,-0.00176027600395
29,0.00143949639872
30,0.000513157946975
31,0.000104409670324
32,0.0026771360077
33,-0.00151845923476
34,0.000584494020135
35,0.00110050590095
36,-0.00371462490796
37,-0.000636358598636
38,-0.00388340132353
39,-0.000765312462073
40,0.00103111103558
41,-0.00154566511607
42,-0.000800878425996
43,0.00133647136258
44,-0.000597154818742
45,-0.00142096736761
46,-0.000188995049458
47,-0.000994526166802
48,-0.0106388645785
49,-0.00667149197178
50,-0.0047657690643
51,-0.00431243164823
52,-0.00205664335985
53,0.000286579660776
54,-0.00451176923808
55,-0.00260135325957
56,-0.000788276438656
57,-0.00246547047823
58,0.000177343749324
59,0.00052482320154
60,-0.0168098069501
61,-0.000551171504703
62,-0.00176830665778
63,0.00123340781703
64,-0.00354160932929
65,0.00500928984694
66,0.00142381755579
67,0.00168297279591
68,0.00168734910535
69,0.00255435282986
70,0.00347043401052
71,0.00246768651036
72,0.00250408634645
73,-0.00221803142498
74,0.00432536173802
75,0.000343386736497
76,0.000472157501248
77,0.00143761891813
78,0.00257341690392
79,-0.00126584204454
80,0.0042073668648
81,0.0013973399376
82,-0.000160570378325
83,-0.000842032069367
84,0.00603016948663
85,-0.00194054974291
86,0.00133776639266
87,0.00474815543696
88,0.00410225399841
89,0.00160727957283
90,-0.000257753315981
91,0.00356069194017
92,0.00472312727149
93,0.00294813540632
94,0.00201077175927
95,-0.000687029697724
96,-0.00628328284766
97,0.00236557817879
98,0.000823041218579
99,0.00334791916568
100,-0.00514371128355
101,-0.00303220334645
102,-0.000557153658166
103,-0.00263885117716
104,-0.00229698513784
105,-0.00261092248679
106,-0.00175079947113
107,0.00224193514564
108,-0.00455866058272
109,0.00116380345192
110,0.00245054005347
111,-0.00135384166969
112,0.00069652778388
113,-0.00562351254163
114,-0.000897358766179
115,-0.00103503716147
116,-0.00377012614719
117,-0.000825935525529
118,-0.00259879188674
119,0.000626095996693
120,0.000972488502887
121,-4.77227272463e-06
122,-0.00125113381516
123,-0.000660808123047
124,-0.000264842771472
125,-0.00172641125018
126,0.0002001436596
127,0.000382606203869
128,0.00271415721366
129,0.0018407146904
130,0.00303409068706
131,0.0022829881061
132,5.39048935592e-06
133,0.00079220386019
134,0.00414253292449
135,0.00184876559723
136,-0.0015851528627
137,0.000756207981097
138,0.00732426090164
139,-0.00129381195449
140,0.000990150513529
141,0.000653281792366
142,-0.0011619658479
143,0.00091477098489
144,0.000495522049009
145,0.00110365864003
146,0.00239649861371
147,0.00525931735125
148,0.00162527176879
149,0.00616309821723
150,0.00284244252272
151,0.000793725489235
152,0.0028382408202
153,0.00218223396017
154,-0.00235344180854
155,-0.00016295910661
156,0.00135580461364
157,2.57564494251e-05
158,0.000396147908199
159,0.000925134938321
160,0.000895641181868
161,0.00387580249993
162,-0.00198312028623
163,-0.000189313846252
164,0.000246048870843
165,-5.62907449344e-05
166,0.000615051203943
167,-0.000422081566281
168,-0.0020713079497
169,-0.00552104287745
170,-0.00123266785168
171,-0.00309399086637
172,-0.00403270557425
173,-0.000692365467227
174,0.000173406500201
175,0.00018076687358
176,0.000322448281194
177,-0.00276742876949
178,0.00215653861665
179,-0.00190835510141
180,-0.00401477057992
181,-0.000866243545108
182,-0.00407516448466
183,0.00118618096656
184,-0.00220539479688
185,-0.00353159754487
186,-0.000720860542154
187,-0.00199465569745
188,0.00218668650568
189,0.00142956488674
190,-0.000148768964649
191,0.00316522000189
192,-0.00127401457377
193,-0.000231150430747
194,0.00148927116773
195,0.00433744550125
196,0.00237644804153
197,0.00153943928915
198,0.00127893635218
199,0.00314985999778
200,0.0033837829275
201,0.000573987360695
202,0.00519481986922
203,0.00109110854264
204,0.00257465133727
205,0.000361402197532
206,0.00316796963626
207,0.00141971508197
208,-0.00220454049483
209,-0.00273930338214
210,0.00123626170521
211,0.00115197135549
212,0.00317013414665
213,0.000140538773958
214,0.00421360018313
215,-0.000682578621661
216,0.00311965452894
217,0.00095091904876
218,0.00194976703485
219,0.00459238791449
220,0.00213318948544
221,0.00167164405327
222,-0.000762380624213
223,0.00546306314668
224,0.00326572494171
225,0.000754312785717
226,0.00337911832994
227,-0.000791251644842
228,0.00359735900959
229,0.000856542683883
230,-0.00242168007882
231,0.00272350368689
232,0.00359125717881
233,0.00330443055734
234,-0.00307762774944
235,-0.00103248235764
236,-1.18918595835e-05
237,-0.000813022161385
238,-0.00045124906354
239,-0.00137060211114
240,0.00444398682878
241,0.00141668106319
242,-0.000353445864248
243,-0.00066469969
244,0.0019869355162
245,0.00295495690566
246,0.00382843781504
247,-0.000657037828303
248,0.000463200023786
249,-0.00154310519291
250,0.000351737255827
251,0.000873104590595
252,0.00123131669843
253,-0.00112501555366
254,0.00370540106718
255,0.00311975828983
256,0.000877828915787
257,0.00107459543031
258,0.00158227693739
259,0.00328860656416
260,0.00387249543454
261,0.00549677957048
262,0.00381060120852
263,0.00370861308808
264,0.0010741835875
265,0.00148241126882
266,0.00604388453733
267,0.002101699833
268,0.00472419464797
269,0.00743442091917
270,0.0081906338766
271,0.00468689292023
272,0.00719088411733
273,0.00551404813731
274,0.0109741533281
275,0.00703884024835
276,0.0104526626953
277,0.0100226225755
278,0.0101785482567
279,0.00776363856408
280,0.00821216605241
281,0.012240930859
282,0.00867273834496
283,0.0107435908705
284,0.00906683743202
285,0.0126052895358
286,0.0104298264467
287,0.0177946378551
288,0.0220620823799
