series,window,start_time,end_time,n_window,embedding_dim_m,epsilon_multiplier,epsilon,bds_statistic,p_value,reject_5pct,decision_5pct,correlation_sum_1,correlation_sum_m,variance
z_log_rv_past_12,quiet,2025-07-29 02:45:00,2025-08-08 12:40:00,3000,2,1.5,1.5,147.283948541,0,True,rechaza H0,0.708203111111,0.671236861103,0.00398064668444
z_log_rv_past_12,quiet,2025-07-29 02:45:00,2025-08-08 12:40:00,3000,3,0.5,0.5,566.756432036,0,True,rechaza H0,0.277704888889,0.174730451833,0.000219382251363
z_log_rv_past_12,quiet,2025-07-29 02:45:00,2025-08-08 12:40:00,3000,3,1,1,232.955336864,0,True,rechaza H0,0.520754444444,0.429772839442,0.00459975091222
z_log_rv_past_12,quiet,2025-07-29 02:45:00,2025-08-08 12:40:00,3000,3,1.5,1.5,155.231684726,0,True,rechaza H0,0.708203111111,0.640235807639,0.0101080737047
z_log_rv_past_12,quiet,2025-07-29 02:45:00,2025-08-08 12:40:00,3000,4,0.5,0.5,1047.29370848,0,True,rechaza H0,0.277704888889,0.139928272172,4.90495172854e-05
z_log_rv_past_12,quiet,2025-07-29 02:45:00,2025-08-08 12:40:00,3000,4,1,1,293.076564784,0,True,rechaza H0,0.520754444444,0.393790854585,0.00357850257303
z_log_rv_past_12,quiet,2025-07-29 02:45:00,2025-08-08 12:40:00,3000,4,1.5,1.5,164.5392197,0,True,rechaza H0,0.708203111111,0.612230849468,0.0144007224608
ar_residual,middle,2025-02-24 16:55:00,2025-03-07 02:50:00,3000,2,0.5,0.5,3.89014078987,0.00010018607881,True,rechaza H0,0.431068888889,0.192324973057,0.00838465425656
ar_residual,middle,2025-02-24 16:55:00,2025-03-07 02:50:00,3000,2,1,1,3.23559558616,0.00121389234497,True,rechaza H0,0.682387555556,0.47240721899,0.013069142126
ar_residual,middle,2025-02-24 16:55:00,2025-03-07 02:50:00,3000,2,1.5,1.5,3.13520579161,0.00171733592506,True,rechaza H0,0.817359555556,0.673144132406,0.0078348385072
ar_residual,middle,2025-02-24 16:55:00,2025-03-07 02:50:00,3000,3,0.5,0.5,4.96124073459,7.0044316821e-07,True,rechaza H0,0.431068888889,0.0882934631538,0.00817408048756
ar_residual,middle,2025-02-24 16:55:00,2025-03-07 02:50:00,3000,3,1,1,4.08915609342,4.32945445239e-05,True,rechaza H0,0.682387555556,0.330941997801,0.0311754459957
ar_residual,middle,2025-02-24 16:55:00,2025-03-07 02:50:00,3000,3,1.5,1.5,4.08148519797,4.47488280546e-05,True,rechaza H0,0.817359555556,0.558197570896,0.0265181119328
ar_residual,middle,2025-02-24 16:55:00,2025-03-07 02:50:00,3000,4,0.5,0.5,4.59942446364,4.23659772799e-06,True,rechaza H0,0.431068888889,0.0401643997462,0.00449879176746
ar_residual,middle,2025-02-24 16:55:00,2025-03-07 02:50:00,3000,4,1,1,3.8295208109,0.000128393025603,True,rechaza H0,0.682387555556,0.231134816276,0.0418032606536
ar_residual,middle,2025-02-24 16:55:00,2025-03-07 02:50:00,3000,4,1.5,1.5,4.03335899498,5.49851798975e-05,True,rechaza H0,0.817359555556,0.462860257655,0.0503618090022
ar_residual,recent,2026-04-20 10:00:00,2026-04-30 19:55:00,3000,2,0.5,0.5,3.3053809206,0.00094847397986,True,rechaza H0,0.465884888889,0.223568687617,0.0116687146558
ar_residual,recent,2026-04-20 10:00:00,2026-04-30 19:55:00,3000,2,1,1,2.2832269317,0.0224170044988,True,rechaza H0,0.703191555556,0.499545975145,0.014773551398
ar_residual,recent,2026-04-20 10:00:00,2026-04-30 19:55:00,3000,2,1.5,1.5,1.4402023698,0.149810152961,False,no rechaza H0,0.823815333333,0.681129010326,0.00873068301074
ar_residual,recent,2026-04-20 10:00:00,2026-04-30 19:55:00,3000,3,0.5,0.5,3.74404566932,0.000181080717166,True,rechaza H0,0.465884888889,0.109003734311,0.0132936363917
ar_residual,recent,2026-04-20 10:00:00,2026-04-30 19:55:00,3000,3,1,1,1.86996612981,0.0614885214472,False,no rechaza H0,0.703191555556,0.354319824513,0.0374238443387
ar_residual,recent,2026-04-20 10:00:00,2026-04-30 19:55:00,3000,3,1.5,1.5,0.852690717832,0.393830839674,False,no rechaza H0,0.823815333333,0.561799037918,0.030034226876
ar_residual,recent,2026-04-20 10:00:00,2026-04-30 19:55:00,3000,4,0.5,0.5,3.56039768011,0.000370293578887,True,rechaza H0,0.465884888889,0.0531240839327,0.0085508025144
ar_residual,recent,2026-04-20 10:00:00,2026-04-30 19:55:00,3000,4,1,1,1.31617788929,0.188114343091,False,no rechaza H0,0.703191555556,0.250058867676,0.05329002681
ar_residual,recent,2026-04-20 10:00:00,2026-04-30 19:55:00,3000,4,1.5,1.5,0.362224485494,0.717184283407,False,no rechaza H0,0.823815333333,0.462188470308,0.0579783533777
ar_residual,high_volatility,2025-10-05 16:45:00,2025-10-16 02:40:00,3000,2,0.5,0.5,1.57914726629,0.114302282272,False,no rechaza H0,0.441022666667,0.197333422578,0.00964827316892
ar_residual,high_volatility,2025-10-05 16:45:00,2025-10-16 02:40:00,3000,2,1,1,2.1960133743,0.0280909861232,True,rechaza H0,0.685322888889,0.47433339178,0.01353888486
ar_residual,high_volatility,2025-10-05 16:45:00,2025-10-16 02:40:00,3000,2,1.5,1.5,3.02562357432,0.00248120990813,True,rechaza H0,0.819294888889,0.676163478301,0.00792801523452
