group,replicate,d2,lyapunov_slope_per_step,lyapunov_slope_per_hour,permutation_entropy_delay_1,permutation_entropy_delay_tau
aaft,1,4.04322282993,0.0235062717788,0.282075261346,0.898959257467,0.975627579822
aaft,2,4.01237882669,0.0360974276188,0.433169131425,0.89406575813,0.977748098709
aaft,3,3.95052969003,0.0293201589767,0.35184190772,0.895777373115,0.977665827598
aaft,4,3.92940319248,0.0300408062956,0.360489675547,0.893309628366,0.975924117568
aaft,5,4.04104362038,0.0244113746552,0.292936495862,0.891412754888,0.97800600749
aaft,6,3.9579180874,0.0284716891576,0.341660269892,0.899653797386,0.979834894587
aaft,7,4.0070648519,0.0324193936435,0.389032723722,0.893622824262,0.975512843283
aaft,8,3.97964247961,0.030378017108,0.364536205296,0.899508444254,0.976200862012
aaft,9,3.95609141313,0.0283576539035,0.340291846842,0.897911906456,0.976634043642
aaft,10,3.90091469061,0.0338829153301,0.406594983961,0.894890115954,0.978260729038
aaft,11,4.15284342909,0.0306606282093,0.367927538512,0.896843235499,0.97441929633
aaft,12,4.028970327,0.0245654196764,0.294785036116,0.898074826105,0.97690697007
aaft,13,3.89801727447,0.0296637208175,0.35596464981,0.896339542471,0.975709128147
aaft,14,4.04776059316,0.0380990531099,0.457188637319,0.890490019065,0.979100170108
aaft,15,3.98777547918,0.0299185515013,0.359022618016,0.894640332132,0.975834770212
aaft,16,3.9755507132,0.0329748968046,0.395698761656,0.89513739225,0.972568066662
aaft,17,3.87516815525,0.0196958776653,0.236350531983,0.893464408758,0.975377740907
aaft,18,3.95024910063,0.0269671594729,0.323605913675,0.897872208468,0.973557460685
aaft,19,3.90852654882,0.0285778834904,0.342934601885,0.892153609059,0.977911217909
aaft,20,3.89206901396,0.0297193188396,0.356631826076,0.897447259758,0.975162107511
aaft,21,3.93890707572,0.0337262968725,0.40471556247,0.892362401434,0.978045268911
aaft,22,3.9246444403,0.0250332356998,0.300398828398,0.894089471737,0.977830231108
aaft,23,3.96916220686,0.0259162317841,0.31099478141,0.896452902151,0.978649251016
aaft,24,3.87991730962,0.025149631094,0.301795573128,0.896253620092,0.974077154837
aaft,25,3.95901325154,0.0314588265154,0.377505918184,0.891139670582,0.978685473431
aaft,26,3.90020253405,0.0304438011941,0.36532561433,0.896273471897,0.975360381142
aaft,27,3.99541450781,0.0341801797351,0.410162156821,0.89250440591,0.975781651798
aaft,28,3.8704075616,0.0234900714642,0.28188085757,0.891191758349,0.972980655254
aaft,29,4.10156382992,0.0282339172459,0.338807006951,0.891551000312,0.974609783922
aaft,30,3.99594710321,0.0319640573053,0.383568687664,0.894363341548,0.975849700919
aaft,31,3.94912645206,0.0312920364531,0.375504437438,0.894682972211,0.971579588052
aaft,32,3.94216379114,0.0321209897007,0.385451876408,0.896856541253,0.96656857006
aaft,33,4.06032363016,0.0332339895153,0.398807874183,0.894245855217,0.973145729993
aaft,34,3.99757335327,0.0247732183911,0.297278620693,0.895771440809,0.979203207209
aaft,35,4.04950970068,0.0332527659046,0.399033190855,0.895534905625,0.973963613722
aaft,36,4.085928184,0.0162493088306,0.194991705967,0.897993629699,0.974474315626
aaft,37,3.99179382178,0.0240534864464,0.288641837356,0.892688271832,0.976789807092
aaft,38,3.97184439964,0.0306056953299,0.367268343959,0.894752071384,0.982635232463
aaft,39,3.88910762312,0.0326665691288,0.391998829545,0.891907942679,0.980632648404
