group,replicate,d2,lyapunov_slope_per_step,lyapunov_slope_per_hour,permutation_entropy_delay_1,permutation_entropy_delay_tau
phase_randomized,1,3.9956047438,0.0296354286604,0.355625143925,0.894458630861,0.970460220024
phase_randomized,2,4.00069496118,0.0286404376239,0.343685251486,0.892119172275,0.978692402012
phase_randomized,3,3.92408929693,0.0305844713799,0.367013656559,0.892078248247,0.966218434895
phase_randomized,4,4.01524731974,0.03356985092,0.40283821104,0.893341024046,0.979034859294
phase_randomized,5,3.97565278443,0.0281057986757,0.337269584108,0.892848169839,0.976059858793
phase_randomized,6,3.8913306174,0.0264367838247,0.317241405897,0.890923282304,0.979001178008
phase_randomized,7,3.94184076,0.0249133429253,0.298960115103,0.894960350227,0.97736990259
phase_randomized,8,4.04731381206,0.0273176403162,0.327811683795,0.887234436544,0.980018266173
phase_randomized,9,3.97583119902,0.0286655452464,0.343986542956,0.890037175051,0.977663854157
phase_randomized,10,3.88143583648,0.0296538981719,0.355846778062,0.892605727929,0.979980394515
phase_randomized,11,3.89940063606,0.0289962756369,0.347955307642,0.891373055292,0.974985454686
phase_randomized,12,3.95142607289,0.0294231734956,0.353078081947,0.890089795784,0.978942487575
phase_randomized,13,3.96089556631,0.0212216249291,0.254659499149,0.88897005181,0.976393496138
phase_randomized,14,3.91372838603,0.0261644378956,0.313973254747,0.893048012283,0.975468116229
phase_randomized,15,4.07206204291,0.021461846224,0.257542154689,0.893635931492,0.97905283526
phase_randomized,16,3.9391086557,0.0233878755586,0.280654506703,0.889222736882,0.977111053445
phase_randomized,17,3.83709513541,0.0270223017544,0.324267621053,0.888943123243,0.975461848121
phase_randomized,18,3.95691990808,0.0163433134435,0.196119761322,0.893658399692,0.979118748442
phase_randomized,19,3.93584404477,0.023394412676,0.280732952111,0.893740073865,0.977522444148
phase_randomized,20,3.87165837322,0.0247766509767,0.297319811721,0.892738664442,0.97450104897
phase_randomized,21,3.88607415549,0.0228610886326,0.274333063591,0.890457233931,0.979162200136
phase_randomized,22,4.02285479935,0.0257230492536,0.308676591044,0.890421086387,0.976831690321
phase_randomized,23,3.9866582832,0.0354529810353,0.425435772423,0.893212162791,0.977072528815
phase_randomized,24,3.8465336661,0.0230729711981,0.276875654377,0.892560037912,0.97193663163
phase_randomized,25,3.91756068841,0.0230349919134,0.27641990296,0.889940405757,0.978938621454
phase_randomized,26,4.00427611447,0.0293204396454,0.351845275745,0.890172657115,0.975643982309
phase_randomized,27,4.00971066149,0.0286113029145,0.343335634974,0.889371709183,0.973832331035
phase_randomized,28,3.90441888827,0.0335744822886,0.402893787463,0.890962118244,0.971077354384
phase_randomized,29,4.00977409743,0.0285710095656,0.342852114787,0.88629197671,0.978607551126
phase_randomized,30,4.05694501454,0.0214716246225,0.25765949547,0.888841448446,0.976975188615
phase_randomized,31,3.97973751442,0.0350491299807,0.420589559768,0.888121893553,0.976471916267
phase_randomized,32,3.970121801,0.0262393431272,0.314872117527,0.891935880277,0.974613883604
phase_randomized,33,3.91425260664,0.0313329704735,0.375995645682,0.893818939035,0.974466678303
phase_randomized,34,3.96889565062,0.0223681298891,0.26841755867,0.891243648598,0.978461900302
phase_randomized,35,4.03840566373,0.0371208523042,0.44545022765,0.887989946467,0.977925487842
phase_randomized,36,3.97261597559,0.0260334214804,0.312401057765,0.890637389587,0.978569780697
phase_randomized,37,3.92616085045,0.0325160816306,0.390192979567,0.896733138115,0.979456967797
phase_randomized,38,3.93533242246,0.0306160964634,0.367393157561,0.891848617184,0.97294469736
phase_randomized,39,3.9847462278,0.0327770096449,0.393324115739,0.890757009149,0.974314851159
