group,replicate,d2,lyapunov_slope_per_step,lyapunov_slope_per_hour,permutation_entropy_delay_1,permutation_entropy_delay_tau
shuffled,1,3.98722586579,-4.55529253019e-05,-0.000546635103623,0.998422875652,0.998662183249
shuffled,2,4.10182592084,-0.0010262484986,-0.0123149819832,0.998512666528,0.998671026129
shuffled,3,3.9701491889,-0.000356384847357,-0.00427661816828,0.998506638187,0.998726352284
shuffled,4,3.94240728701,-3.05612121798e-06,-3.66734546158e-05,0.998423574079,0.998938182577
shuffled,5,4.12641112058,-0.000354562567753,-0.00425475081303,0.998571505933,0.99833367699
shuffled,6,3.98596058823,0.000476374639744,0.00571649567693,0.99856718343,0.998482275844
shuffled,7,4.05133802163,0.000476779458912,0.00572135350695,0.998915867229,0.998390304537
shuffled,8,4.07754359601,0.00029788398557,0.00357460782684,0.998555515973,0.998562341976
shuffled,9,4.09256884463,-0.000560164027075,-0.0067219683249,0.998501369673,0.99837982347
shuffled,10,4.08287586208,-0.000443755277602,-0.00532506333123,0.99885075186,0.998443128998
shuffled,11,4.11374460742,0.000179820317761,0.00215784381313,0.998455955222,0.998169234471
shuffled,12,4.1473030176,-0.00114986452781,-0.0137983743337,0.998298571873,0.998723159778
shuffled,13,4.14865210335,-0.000105254468829,-0.00126305362595,0.99828262145,0.998422332644
shuffled,14,4.08046228069,-0.000701529823282,-0.00841835787938,0.998757126252,0.998355627558
shuffled,15,4.13509078626,-0.000491394345887,-0.00589673215065,0.998519456045,0.998394998095
shuffled,16,4.16765493478,0.000331218470132,0.00397462164159,0.998407957547,0.998408499893
shuffled,17,4.08314757712,-0.000930669849056,-0.0111680381887,0.998641371509,0.99856478734
shuffled,18,4.0871357301,-0.000397428374154,-0.00476914048985,0.998261967624,0.997914471074
shuffled,19,4.01258385625,0.000694387348507,0.00833264818209,0.998815206244,0.998878259195
shuffled,20,4.05741547208,-0.000175910517942,-0.00211092621531,0.998514198185,0.998452883091
shuffled,21,4.17808135539,0.000779461420048,0.00935353704058,0.998786308598,0.998635583836
shuffled,22,4.10398340431,-0.000667265104615,-0.00800718125538,0.998300748743,0.998235171493
shuffled,23,4.03989124247,-0.000180429715502,-0.00216515658603,0.998674393314,0.998502274022
shuffled,24,4.01133016863,-0.00011831005261,-0.00141972063132,0.998474591057,0.998750177422
shuffled,25,4.04465921947,0.000290475668088,0.00348570801705,0.998503058605,0.998586590139
shuffled,26,4.03284295412,0.000112995720376,0.00135594864451,0.999077058185,0.99841930785
shuffled,27,4.11264629781,0.000713115448156,0.00855738537788,0.998306563515,0.998467643676
shuffled,28,4.08162199513,0.000246617829974,0.00295941395969,0.998704451837,0.998853815458
shuffled,29,4.12717624723,0.000574575259027,0.00689490310832,0.998519962095,0.998883018697
shuffled,30,4.01499084588,-0.000853529912109,-0.0102423589453,0.998656672108,0.998524582341
shuffled,31,4.02635010689,0.00010062481697,0.00120749780364,0.998282403812,0.998481855984
shuffled,32,4.09406980025,-0.000339959938205,-0.00407951925847,0.999002398012,0.998576332825
shuffled,33,4.05334023286,-0.000275382780606,-0.00330459336727,0.998260138077,0.998237780549
shuffled,34,4.0780706496,-0.00112004544441,-0.013440545333,0.998740261743,0.998572741153
shuffled,35,4.09005860347,0.000135254417027,0.00162305300432,0.998678895913,0.998591254838
shuffled,36,4.12642057306,-0.000217427125409,-0.0026091255049,0.998291681767,0.998594773838
shuffled,37,4.13274374907,0.000505153121079,0.00606183745295,0.998250587087,0.998382761488
shuffled,38,4.11714157704,9.26328476963e-05,0.00111159417236,0.998644988726,0.998489503751
shuffled,39,4.17412212071,0.00102990818459,0.0123588982151,0.998496679807,0.997888999933
shuffled,40,3.95389563587,0.000225630910825,0.0027075709299,0.998730751452,0.99853904384
shuffled,41,4.13521124056,0.000462240575704,0.00554688690845,0.998918453119,0.998301536728
shuffled,42,4.05835484481,-0.000570764135698,-0.00684916962838,0.998286550076,0.998381548158
shuffled,43,4.03508174021,-9.51925145407e-05,-0.00114231017449,0.998531290139,0.998157298546
shuffled,44,4.07166267269,-0.000411047324124,-0.00493256788948,0.998769969941,0.998489222899
shuffled,45,4.00118120446,-0.000404375658755,-0.00485250790506,0.998062912197,0.998670051812
shuffled,46,4.06827169806,-0.000463443150285,-0.00556131780342,0.998298807462,0.998839775201
shuffled,47,3.99767719134,0.000230934631209,0.00277121557451,0.998845080236,0.998194929179
shuffled,48,4.0554381164,0.000279211133206,0.00335053359847,0.998839378771,0.998596245216
shuffled,49,3.99222972672,0.000490612709894,0.00588735251872,0.998999803435,0.99878194908
shuffled,50,4.10350681605,-0.000139006198344,-0.00166807438013,0.998655484582,0.997550360995
