series,n,acf_lag_1,acf_lag_12,acf_lag_288,acf_lag_2016,acf_significance_band,acf_significant_lags_1_288,acf_significant_lags_1_2016,acf_first_lag_abs_below_band,acf_first_negative_lag,acf_max_abs_lag_1_2016,acf_max_abs_value_1_2016,pacf_lag_1,pacf_lag_12,pacf_lag_288,pacf_significant_lags_1_288,pacf_max_abs_lag_1_288,pacf_max_abs_value_1_288
r,244752,-0.0102611463395,0.00327008172575,0.000870850589829,-0.00130254831161,0.00396180364009,55,197,3,1,2,-0.0170196767416,-0.0102611463395,0.00298275461123,0.00030524009856,54,2,-0.0171267711628
abs_r,244752,0.3429202684,0.229201831499,0.13854057658,0.122674776817,0.00396180364009,288,2016,,,1,0.3429202684,0.3429202684,0.0479334292839,0.0162828100687,157,1,0.3429202684
log_rv_past_12,244752,0.98139241038,0.713858992854,0.419325685561,0.444134589933,0.00396180364009,288,2016,,,1,0.98139241038,0.98139241038,-0.00594039417363,-0.0066007902193,123,1,0.98139241038
